City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
260,Saint Anthony,US,85.75,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
261,Matara,LK,78.78,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
264,Wucheng,CN,76.51,overcast clouds,29.6008,118.175,Xiuwu Restaurant
268,Bontang,ID,76.3,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
269,Calderitas,MX,84.31,overcast clouds,18.55,-88.25,Hotel Hacienda Campestre
274,Thaton,MM,75.33,overcast clouds,16.9206,97.3714,Tain Pyar Guest House
275,Vilhena,BR,73.38,overcast clouds,-12.7406,-60.1458,Hotel Mirage
276,Labuhan,ID,77.13,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
277,Laibin,CN,78.49,broken clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
281,Miri,MY,75.58,light rain,4.4148,114.0089,"Mega Hotel, Miri"
282,Xambioa,BR,75.69,broken clouds,-6.4111,-48.5364,Pousada Do Sol
286,Sao Filipe,CV,76.82,overcast clouds,14.8961,-24.4956,Hotel Xaguate
287,Dzilam Gonzalez,MX,75.7,overcast clouds,21.2833,-88.9333,posadas
289,Katsuura,JP,75.31,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
291,Itarema,BR,77.77,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
292,College,US,71.65,light rain,64.8569,-147.8028,Pike's Waterfront Lodge
293,Portland,US,81.45,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
295,Winnemucca,US,87.85,clear sky,40.973,-117.7357,Winners Inn Casino
296,Saint-Philippe,RE,72.95,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
299,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
304,Irece,BR,78.87,broken clouds,-11.3042,-41.8558,RADAR INN HOTEL
305,Aden,YE,87.87,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
306,Hasaki,JP,77.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
308,Fortuna,US,79.48,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
309,Sakakah,SA,83.19,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
310,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
311,Namibe,AO,70.39,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
312,Puntarenas,CR,80.53,light rain,9.9763,-84.8384,Michael's Surfside Hotel
314,Caravelas,BR,73.94,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
315,Longkou,CN,71.44,few clouds,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
323,Lalupon,NG,72.0,broken clouds,7.4667,4.0667,BSB HOTELS
324,Bengkulu,ID,74.88,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
325,Mountain Home,US,81.88,clear sky,43.133,-115.6912,Mountain Home Inn
326,Pochutla,MX,79.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
327,Cabra,ES,76.44,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
335,Dovers,VC,76.59,few clouds,12.8833,-61.1833,Ocean Breeze
343,Muros,ES,72.23,clear sky,42.7762,-9.0603,Apartment Av. Castelao
348,Mapiripan,CO,74.07,light rain,2.8892,-72.1256,Monserrate
349,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
352,Wadi Maliz,TN,70.5,clear sky,36.4681,8.5495,HOPITAL
356,Axim,GH,79.18,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
357,Pathein,MM,78.21,broken clouds,16.7833,94.7333,New Pammawaddy Hotel
358,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
359,Kudahuvadhoo,MV,83.25,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
365,Karad,IN,71.51,overcast clouds,17.2833,74.2,Hotel Sugam Lodging
369,Naze,JP,75.52,moderate rain,28.3667,129.4833,奄美ポートタワーホテル
377,Upata,VE,82.18,broken clouds,8.0086,-62.3989,Posada Villa Nela
379,Champerico,GT,83.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
380,Yangcun,CN,79.27,broken clouds,39.3639,117.0603,Hanting Express Tianjin Wuqing Jingjin Road
381,Salinopolis,BR,75.25,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
382,Sanming,CN,79.09,overcast clouds,26.2486,117.6186,Sanming Huangting Lijing Hotel
384,Tual,ID,81.59,broken clouds,-5.6667,132.75,Grand Vilia Hotel
387,Bridgetown,BB,81.09,few clouds,13.1,-59.6167,Hilton Barbados Resort
388,Westport,US,70.63,clear sky,41.1415,-73.3579,The Westport Inn
389,Gillette,US,89.82,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
391,Morwa,IN,87.06,scattered clouds,22.9,73.8333,mahakali maa hotel
396,Le Port,RE,73.36,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
401,Yen Bai,VN,78.37,overcast clouds,21.7,104.8667,AK MOTEL
