City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Marystown,CA,47.1666,-55.1483,51.85,100,79,8.88,broken clouds
142,Cagliari,IT,39.245,9.0912,73.9,63,0,1.14,clear sky
143,Kahului,US,20.8947,-156.47,84.22,66,40,21.85,scattered clouds
144,Lebu,CL,-37.6167,-73.65,56.35,88,100,5.61,overcast clouds
145,Lavrentiya,RU,65.5833,-171.0,36.81,97,100,8.68,overcast clouds
146,Dalbandin,PK,28.8947,64.4101,90.01,5,0,2.3,clear sky
147,Beringovskiy,RU,63.05,179.3167,36.39,99,100,8.7,light rain
148,Pedernales,DO,18.0384,-71.744,83.34,71,20,11.1,few clouds
149,Kasane,BW,-17.8167,25.15,53.4,45,38,3.31,scattered clouds
150,Londa,IN,15.4691,74.5191,68.34,95,100,7.7,overcast clouds
151,Praya,CV,14.9215,-23.5087,77.54,83,75,4.61,broken clouds
152,Najran,SA,17.4924,44.1277,77.43,19,14,3.78,few clouds
153,Guaruja,BR,-23.9931,-46.2564,69.89,26,25,1.01,scattered clouds
154,Te Anau,NZ,-45.4167,167.7167,52.9,99,100,1.79,light rain
155,Berdigestyakh,RU,62.0989,126.6992,57.07,45,48,4.21,scattered clouds
156,Mar Del Plata,AR,-38.0023,-57.5575,63.0,78,17,1.99,few clouds
157,Saint-Joseph,RE,-21.3667,55.6167,71.96,74,49,12.19,scattered clouds
158,Selfoss,IS,63.9331,-20.9971,45.48,72,100,15.55,light rain
159,Batemans Bay,AU,-35.7167,150.1833,57.9,69,25,4.38,scattered clouds
160,Port Hardy,CA,50.6996,-127.4199,54.36,87,100,3.85,overcast clouds
161,Innisfail,AU,-17.5333,146.0333,71.73,93,98,5.1,overcast clouds
162,Flinders,AU,-34.5833,150.8552,58.37,60,0,8.99,clear sky
163,Ostrovnoy,RU,68.0531,39.5131,61.02,50,4,13.69,clear sky
164,Udachnyy,RU,66.4167,112.4,48.61,78,100,12.91,light rain
165,Salalah,OM,17.0151,54.0924,84.29,89,75,4.61,broken clouds
166,Yazoo City,US,32.8551,-90.4056,92.14,72,98,2.93,overcast clouds
167,Longyearbyen,SJ,78.2186,15.6401,35.44,55,20,16.11,few clouds
168,San Isidro,PE,-12.1167,-77.05,66.02,88,90,9.22,overcast clouds
169,Kefamenanu,ID,-9.4467,124.4781,72.21,83,99,3.62,overcast clouds
170,Nabire,ID,-3.3667,135.4833,77.81,86,23,2.44,few clouds
171,Kuusamo,FI,65.9667,29.1833,60.84,67,0,14.97,clear sky
172,Thompson,CA,55.7435,-97.8558,48.88,98,100,4.81,overcast clouds
173,Birin,NP,26.8865,88.0718,63.59,89,99,3.09,overcast clouds
174,Cerrito,CO,6.8432,-72.694,52.99,94,99,5.14,moderate rain
175,Mahajanga,MG,-15.7167,46.3167,73.42,83,20,2.3,light rain
176,Sokoni,TZ,-6.4333,39.55,78.22,71,52,15.19,broken clouds
177,Jiaojiang,CN,28.6803,121.4428,77.0,97,100,2.44,light rain
178,Babati,TZ,-4.2167,35.75,54.32,93,5,1.16,clear sky
179,Tura,IN,25.5198,90.2201,73.87,96,100,3.71,moderate rain
180,Monrovia,LR,6.3005,-10.7969,76.77,81,100,7.94,overcast clouds
181,Mazatlan,MX,23.2167,-106.4167,88.02,76,75,4.0,broken clouds
182,Lop Buri,TH,14.7981,100.654,72.14,98,100,7.31,light rain
183,Bilibino,RU,68.0546,166.4372,53.46,44,11,1.57,few clouds
184,Nanakuli,US,21.3906,-158.1547,87.75,48,20,11.5,few clouds
185,Bubaque,GW,11.2833,-15.8333,81.32,80,64,5.41,light rain
186,Victor Harbor,AU,-35.5667,138.6167,53.91,71,98,5.03,overcast clouds
187,Gandajika,CD,-6.75,23.95,68.74,48,0,5.17,clear sky
188,Urucui,BR,-7.2294,-44.5561,79.99,41,16,3.47,few clouds
189,Khash,IR,28.2211,61.2158,81.75,10,0,3.27,clear sky
190,Kayerkan,RU,69.3497,87.7602,32.04,95,99,7.18,overcast clouds
191,Ulaangom,MN,49.9811,92.0667,51.76,67,0,6.46,clear sky
192,Mount Isa,AU,-20.7333,139.5,60.57,27,59,0.0,broken clouds
193,Mezhdurechensk,RU,53.6942,88.0603,50.13,90,73,1.36,broken clouds
194,Guerrero Negro,MX,27.9769,-114.0611,69.75,64,34,21.5,scattered clouds
195,Savonlinna,FI,61.8699,28.88,60.26,94,20,6.91,few clouds
196,Geraldton,AU,-28.7667,114.6,52.21,93,40,10.36,scattered clouds
197,La Ronge,CA,55.1001,-105.2842,69.13,32,79,12.15,broken clouds
198,Severo-Kurilsk,RU,50.6789,156.125,51.35,81,73,9.51,broken clouds
199,Hilo,US,19.7297,-155.09,80.33,68,90,8.05,light rain
200,Sahuaripa,MX,29.05,-109.2333,113.23,6,65,12.84,broken clouds
201,Vila,PT,42.0304,-8.1588,63.48,81,39,5.26,scattered clouds
202,Pauini,BR,-7.7136,-66.9764,77.81,71,86,3.98,overcast clouds
203,Eureka,US,40.8021,-124.1637,79.75,66,79,10.0,broken clouds
204,Kushima,JP,31.4583,131.2333,75.83,94,98,3.51,light rain
205,Georgetown,MY,5.4112,100.3354,83.89,82,20,1.14,few clouds
206,Luwuk,ID,-0.9516,122.7875,77.72,85,98,2.3,overcast clouds
207,Merauke,ID,-8.4667,140.3333,79.38,86,35,9.48,scattered clouds
208,Ancud,CL,-41.8697,-73.8203,46.42,90,100,3.47,moderate rain
209,Montrose,US,38.4166,-108.2673,82.53,7,0,17.11,clear sky
210,Monforte De Lemos,ES,42.5216,-7.5142,69.57,87,38,0.47,scattered clouds
211,Tuatapere,NZ,-46.1333,167.6833,53.49,98,100,3.94,moderate rain
212,San Jeronimo,PE,-11.9472,-75.2829,53.06,70,62,6.29,broken clouds
213,Bhuj,IN,23.2667,69.6667,84.27,74,16,16.69,few clouds
214,Ahuimanu,US,21.4447,-157.8378,87.51,57,1,12.66,clear sky
215,Margate,GB,51.3813,1.3862,61.3,84,13,3.0,few clouds
216,Nikolskoye,RU,59.7035,30.7861,58.89,96,44,5.61,scattered clouds
217,Mizdah,LY,31.4451,12.9801,67.71,53,28,6.87,scattered clouds
218,Constitucion,CL,-35.3333,-72.4167,56.35,92,16,10.22,few clouds
219,Pangnirtung,CA,66.1451,-65.7125,36.09,93,97,0.47,overcast clouds
220,Chokurdakh,RU,70.6333,147.9167,50.68,85,100,7.56,moderate rain
221,Along,IN,28.1667,94.7667,73.22,92,90,1.25,overcast clouds
222,Polovinnoye,RU,54.7914,65.9864,54.37,64,58,3.6,broken clouds
223,Antofagasta,CL,-23.65,-70.4,59.13,81,27,3.33,scattered clouds
