City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,Botou,38.0667,116.5667,73.06,62,0,5.95,CN,2021-06-10 17:52:39
92,Mbini,1.574,9.6134,79.43,88,100,6.49,GQ,2021-06-10 17:52:39
93,Srednekolymsk,67.45,153.6833,37.94,79,100,9.82,RU,2021-06-10 17:52:39
94,Severo-Kurilsk,50.6789,156.125,45.75,86,11,9.62,RU,2021-06-10 17:52:39
95,Aasiaat,68.7098,-52.8699,34.88,83,100,2.37,GL,2021-06-10 17:52:40
96,Killybegs,54.6333,-8.45,63.45,74,91,14.74,IE,2021-06-10 17:52:40
97,Arraial Do Cabo,-22.9661,-42.0278,73.36,94,90,13.8,BR,2021-06-10 17:52:40
98,Puerto Madryn,-42.7692,-65.0385,52.77,39,0,18.43,AR,2021-06-10 17:50:04
99,Bilibino,68.0546,166.4372,42.24,72,100,5.48,RU,2021-06-10 17:52:41
100,Yulara,-25.2406,130.9889,37.24,60,1,4.61,AU,2021-06-10 17:52:41
101,Hovd,48.0056,91.6419,61.74,50,57,0.63,MN,2021-06-10 17:52:42
102,Mackay,-21.15,149.2,48.04,87,99,8.05,AU,2021-06-10 17:52:42
103,Hermanus,-34.4187,19.2345,56.89,82,100,7.18,ZA,2021-06-10 17:52:42
104,Dunedin,-45.8742,170.5036,43.81,89,15,1.99,NZ,2021-06-10 17:52:42
105,Finschhafen,-6.6024,147.8681,78.21,80,43,5.41,PG,2021-06-10 17:52:43
106,Sao Joao Da Barra,-21.6403,-41.0511,75.29,80,32,10.58,BR,2021-06-10 17:52:43
107,Labuhan,-6.8844,112.2051,78.64,85,79,5.77,ID,2021-06-10 17:52:44
108,Nouadhibou,20.931,-17.0347,82.38,54,0,9.22,MR,2021-06-10 17:52:44
109,Elizabeth City,36.2946,-76.2511,86.05,76,20,3.0,US,2021-06-10 17:52:44
110,Sora,41.7157,13.6141,72.23,85,100,3.98,IT,2021-06-10 17:52:44
111,Carnarvon,-24.8667,113.6333,60.87,7,40,6.91,AU,2021-06-10 17:52:45
112,Saldanha,-33.0117,17.9442,60.85,80,36,10.87,ZA,2021-06-10 17:52:45
113,Grindavik,63.8424,-22.4338,48.67,81,75,5.75,IS,2021-06-10 17:52:45
114,Deputatskiy,69.3,139.9,41.79,66,2,2.8,RU,2021-06-10 17:52:46
115,Phuntsholing,26.8516,89.3884,76.71,92,79,4.32,BT,2021-06-10 17:52:46
116,Yeniseysk,58.4497,92.1703,36.72,77,48,3.18,RU,2021-06-10 17:52:46
117,Karratha,-20.7377,116.8463,73.65,66,58,3.87,AU,2021-06-10 17:52:47
118,Gambela,8.25,34.5833,75.94,77,69,4.05,ET,2021-06-10 17:52:47
119,Bankura,23.25,87.0667,83.08,77,100,3.22,IN,2021-06-10 17:52:47
120,Noyabrsk,63.1994,75.4507,46.27,67,78,6.42,RU,2021-06-10 17:52:48
121,Meulaboh,4.1363,96.1285,76.32,81,91,5.41,ID,2021-06-10 17:52:48
122,Hobyo,5.3505,48.5268,78.93,79,88,27.78,SO,2021-06-10 17:52:48
123,Bintulu,3.1667,113.0333,77.41,94,20,0.0,MY,2021-06-10 17:52:49
124,Bontang,0.1333,117.5,76.03,91,40,4.41,ID,2021-06-10 17:52:49
125,Puerto Carreno,6.189,-67.4859,74.68,91,100,0.51,CO,2021-06-10 17:52:49
126,Kapaa,22.0752,-159.319,78.78,80,90,3.0,US,2021-06-10 17:49:11
127,Isangel,-19.55,169.2667,71.22,74,91,9.13,VU,2021-06-10 17:52:50
128,Ilulissat,69.2167,-51.1,38.37,76,87,6.62,GL,2021-06-10 17:52:50
129,Sola,-13.8833,167.55,79.7,69,99,20.71,VU,2021-06-10 17:52:50
130,Nancha,47.1333,129.2667,60.71,99,100,0.87,CN,2021-06-10 17:52:50
131,San Carlos De Bariloche,-41.1456,-71.3082,44.35,65,75,19.57,AR,2021-06-10 17:52:51
132,Castro,-24.7911,-50.0119,62.44,84,100,5.23,BR,2021-06-10 17:52:51
133,Mtwara,-10.2667,40.1833,71.53,82,30,9.69,TZ,2021-06-10 17:52:51
134,Vila Velha,-20.3297,-40.2925,78.96,86,90,1.99,BR,2021-06-10 17:52:19
135,Mbandaka,0.0487,18.2603,79.05,67,81,0.85,CD,2021-06-10 17:52:52
136,Kano,12.0001,8.5167,96.69,36,20,3.44,NG,2021-06-10 17:51:10
137,Chapleau,47.8405,-83.4034,59.09,82,90,4.61,CA,2021-06-10 17:52:52
138,Codrington,-38.2667,141.9667,52.68,92,96,10.4,AU,2021-06-10 17:52:52
139,Rapperswil,47.2256,8.8223,75.43,78,52,3.11,CH,2021-06-10 17:52:53
140,Vao,-22.6667,167.4833,71.94,71,100,14.85,NC,2021-06-10 17:52:53
141,Saint-Augustin,51.226,-58.6502,50.56,46,92,14.63,CA,2021-06-10 17:52:53
142,Verkh-Usugli,52.7,115.1667,47.57,75,36,1.1,RU,2021-06-10 17:52:54
143,Gostyn,51.8825,17.0123,75.18,69,12,0.29,PL,2021-06-10 17:52:54
144,Saskylakh,71.9167,114.0833,46.92,87,100,12.93,RU,2021-06-10 17:52:54
145,Pimenteiras,-6.2453,-41.4192,97.03,24,56,6.24,BR,2021-06-10 17:52:55
146,Naryan-Mar,67.6713,53.087,64.26,37,100,15.14,RU,2021-06-10 17:52:55
147,Bengkulu,-3.8004,102.2655,74.57,90,55,4.61,ID,2021-06-10 17:52:55
148,Faanui,-16.4833,-151.75,81.03,73,6,8.5,PF,2021-06-10 17:52:55
149,Terrace,54.5163,-128.6035,56.43,66,75,12.66,CA,2021-06-10 17:49:07
150,Mogadishu,2.0371,45.3438,79.2,80,60,17.72,SO,2021-06-10 17:48:50
151,Port Hardy,50.6996,-127.4199,51.98,93,75,9.22,CA,2021-06-10 17:52:56
152,Lydenburg,-25.0978,30.4597,45.27,75,60,3.58,ZA,2021-06-10 17:52:56
153,Naze,28.3667,129.4833,74.3,91,95,12.46,JP,2021-06-10 17:52:57
154,Quatre Cocos,-20.2078,57.7625,75.31,73,82,16.15,MU,2021-06-10 17:52:57
